r_star,W,decay_type,alpha_week0,alpha_week1,T_eval,T_eval_policy,T_policy,S0_Teval,S0_Tpolicy,S_shock_Teval,S_shock_Tpolicy,S_mech_Teval,S_mech_Tpolicy,deltaS_shock_Teval,deltaS_shock_Tpolicy,deltaS_mech_Teval,deltaS_mech_Tpolicy,support_n_events_at_Tpolicy,support_n_events_cum_leq_Tpolicy,support_n_at_risk_Tpolicy,support_n_events_at_Teval,support_n_events_cum_leq_Teval,support_n_at_risk_Teval
3,3,flat,0.3,0.09,38,38,18,0.8677048145010401,0.855433213063115,0.8686134370358621,0.8572011440766149,0.8696229855035894,0.8592810071836929,0.0009086225348220456,0.0017679310134998127,0.0019181710025493182,0.0038477941205778965,167,5452,21255,0,7386,1575
3,3,exp,0.3,0.09,38,38,18,0.8677048145010401,0.855433213063115,0.8686134370358621,0.8572011440766149,0.8695824182407758,0.8592380364028697,0.0009086225348220456,0.0017679310134998127,0.001877603739735667,0.003804823339754626,167,5452,21255,0,7386,1575
3,3,flat,0.5,0.15,38,38,18,0.8677048145010401,0.855433213063115,0.8686134370358621,0.8572011440766149,0.8696522767312356,0.8593134964692047,0.0009086225348220456,0.0017679310134998127,0.0019474622301954847,0.003880283406089702,167,5452,21255,0,7386,1575
3,3,exp,0.5,0.15,38,38,18,0.8677048145010401,0.855433213063115,0.8686134370358621,0.8572011440766149,0.8695892170365573,0.8592448265518031,0.0009086225348220456,0.0017679310134998127,0.001884402535517249,0.0038116134886880815,167,5452,21255,0,7386,1575
4,1,flat,0.1,0.03,38,38,18,0.8677048145010401,0.855433213063115,0.8679292009756856,0.8559337768907499,0.8683249899038381,0.8568142200473555,0.00022438647464551043,0.000500563827634859,0.0006201754027980177,0.0013810069842404848,167,5452,21255,0,7386,1575
4,1,exp,0.1,0.03,38,38,18,0.8677048145010401,0.855433213063115,0.8679292009756856,0.8559337768907499,0.8683249899038381,0.8568142200473555,0.00022438647464551043,0.000500563827634859,0.0006201754027980177,0.0013810069842404848,167,5452,21255,0,7386,1575
4,1,flat,0.2,0.06,38,38,18,0.8677048145010401,0.855433213063115,0.8679292009756856,0.8559337768907499,0.8683249899038381,0.8568142200473555,0.00022438647464551043,0.000500563827634859,0.0006201754027980177,0.0013810069842404848,167,5452,21255,0,7386,1575
4,1,exp,0.2,0.06,38,38,18,0.8677048145010401,0.855433213063115,0.8679292009756856,0.8559337768907499,0.8683249899038381,0.8568142200473555,0.00022438647464551043,0.000500563827634859,0.0006201754027980177,0.0013810069842404848,167,5452,21255,0,7386,1575
4,1,flat,0.3,0.09,38,38,18,0.8677048145010401,0.855433213063115,0.8679292009756856,0.8559337768907499,0.8683249899038381,0.8568142200473555,0.00022438647464551043,0.000500563827634859,0.0006201754027980177,0.0013810069842404848,167,5452,21255,0,7386,1575
4,1,exp,0.3,0.09,38,38,18,0.8677048145010401,0.855433213063115,0.8679292009756856,0.8559337768907499,0.8683249899038381,0.8568142200473555,0.00022438647464551043,0.000500563827634859,0.0006201754027980177,0.0013810069842404848,167,5452,21255,0,7386,1575
4,1,flat,0.5,0.15,38,38,18,0.8677048145010401,0.855433213063115,0.8679292009756856,0.8559337768907499,0.8683249899038381,0.8568142200473555,0.00022438647464551043,0.000500563827634859,0.0006201754027980177,0.0013810069842404848,167,5452,21255,0,7386,1575
4,1,exp,0.5,0.15,38,38,18,0.8677048145010401,0.855433213063115,0.8679292009756856,0.8559337768907499,0.8683249899038381,0.8568142200473555,0.00022438647464551043,0.000500563827634859,0.0006201754027980177,0.0013810069842404848,167,5452,21255,0,7386,1575
4,2,flat,0.1,0.03,38,38,18,0.8677048145010401,0.855433213063115,0.8680973546841253,0.8563145292727404,0.8687158901542366,0.8578071866144045,0.00039254018308521044,0.0008813162096253935,0.0010110756531964693,0.002373973551289432,167,5452,21255,0,7386,1575
4,2,exp,0.1,0.03,38,38,18,0.8677048145010401,0.855433213063115,0.8680973546841253,0.8563145292727404,0.8687138167488272,0.8578038800941337,0.00039254018308521044,0.0008813162096253935,0.0010090022477871052,0.002370667031018625,167,5452,21255,0,7386,1575
4,2,flat,0.2,0.06,38,38,18,0.8677048145010401,0.855433213063115,0.8680973546841253,0.8563145292727404,0.8687187399480178,0.8578117702229741,0.00039254018308521044,0.0008813162096253935,0.0010139254469777592,0.0023785571598590183,167,5452,21255,0,7386,1575
4,2,exp,0.2,0.06,38,38,18,0.8677048145010401,0.855433213063115,0.8680973546841253,0.8563145292727404,0.86871471359311,0.8578053073592328,0.00039254018308521044,0.0008813162096253935,0.0010098990920699435,0.0023720942961177327,167,5452,21255,0,7386,1575
4,2,flat,0.3,0.09,38,38,18,0.8677048145010401,0.855433213063115,0.8680973546841253,0.8563145292727404,0.8687214673820353,0.8578161983452683,0.00039254018308521044,0.0008813162096253935,0.0010166528809951725,0.002382985282153305,167,5452,21255,0,7386,1575
4,2,exp,0.3,0.09,38,38,18,0.8677048145010401,0.855433213063115,0.8680973546841253,0.8563145292727404,0.8687155980389935,0.857806719313511,0.00039254018308521044,0.0008813162096253935,0.0010107835379533636,0.002373506250396007,167,5452,21255,0,7386,1575
4,2,flat,0.5,0.15,38,38,18,0.8677048145010401,0.855433213063115,0.8680973546841253,0.8563145292727404,0.8687265929187412,0.8578246248460212,0.00039254018308521044,0.0008813162096253935,0.0010217784177011247,0.0023914117829061388,167,5452,21255,0,7386,1575
4,2,exp,0.5,0.15,38,38,18,0.8677048145010401,0.855433213063115,0.8680973546841253,0.8563145292727404,0.8687173309942688,0.8578094984758371,0.00039254018308521044,0.0008813162096253935,0.0010125164932287545,0.0023762854127220567,167,5452,21255,0,7386,1575
4,3,flat,0.1,0.03,38,38,18,0.8677048145010401,0.855433213063115,0.8681952316723546,0.8566472275605164,0.8688982133673114,0.8586668889126804,0.0004904171713144834,0.0012140144974013278,0.0011933988662713446,0.003233675849565354,167,5452,21255,0,7386,1575
4,3,exp,0.1,0.03,38,38,18,0.8677048145010401,0.855433213063115,0.8681952316723546,0.8566472275605164,0.8688924341888193,0.8586602334098629,0.0004904171713144834,0.0012140144974013278,0.001187619687779251,0.003227020346747822,167,5452,21255,0,7386,1575
