horizon,delta_gap
T_policy,-0.0004570585782202041
T_policy,-0.0005094830374655634
T_policy,-0.0004866718799567682
T_policy,-0.0005225505416879273
T_policy,-0.0006330625484815
T_policy,-0.0005234643923547333
T_policy,-0.0004482494261537351
T_policy,-0.0005383399895181329
T_policy,-0.000454071743678619
T_policy,-0.00048358693909844597
T_policy,-0.0005209452643742951
T_policy,-0.0005033227025367237
T_policy,-0.0005237881919931686
T_policy,-0.0003993275032266874
T_policy,-0.0005296875387906796
T_policy,-0.0005832628148478847
T_policy,-0.0004802976667940273
T_policy,-0.000521320463597541
T_policy,-0.0005551759391363431
T_policy,-0.0005137741728354905
T_policy,-0.0004634885090125662
T_policy,-0.00041119887962792756
T_policy,-0.000525068017348973
T_policy,-0.0005036332689170031
T_policy,-0.00038084976277463767
T_policy,-0.0004933378604350391
T_policy,-0.0004452975528332903
T_policy,-0.0004841888021912544
T_policy,-0.0003287453892785175
T_policy,-0.0006424836525377176
T_policy,-0.0005110918443955725
T_policy,-0.00048655668094665927
T_policy,-0.00046076744272838255
T_policy,-0.00045546223808368147
T_policy,-0.0004892524987553104
T_policy,-0.0005666092682441448
T_policy,-0.00047254017261899595
T_policy,-0.0005347736356008381
T_policy,-0.0004056268863964485
T_policy,-0.0004698150557770342
T_policy,-0.0006326039863407962
T_policy,-0.00044369744202643613
T_policy,-0.00046344979818702114
T_policy,-0.0005566766787512556
T_policy,-0.0005475610345726523
T_policy,-0.0004305536951604294
T_policy,-0.0005290798607333613
T_policy,-0.0005010459139377366
T_policy,-0.0005275202876209306
T_policy,-0.000543004175992956
T_policy,-0.000532449641016286
T_policy,-0.0005436986410399802
T_policy,-0.0004428950756718564
T_policy,-0.00037635924710366364
T_policy,-0.0003815269600581095
T_policy,-0.0005441000874204516
T_policy,-0.00036852186820024446
T_policy,-0.000438976405431335
T_policy,-0.000510713431936316
T_policy,-0.00064868544803387
T_policy,-0.0005517030248446408
T_policy,-0.0005070323140614619
T_policy,-0.0005491509220646451
T_policy,-0.0004108730835120644
T_policy,-0.0006013897706687032
T_policy,-0.0004236383054634363
T_policy,-0.00040826633465629314
T_policy,-0.0005240833037695181
T_policy,-0.0005567372784539559
T_policy,-0.00044867924077574006
T_policy,-0.0005348225828318842
T_policy,-0.00042969049513785773
T_policy,-0.0006413031071246245
T_policy,-0.0005952319236260939
T_policy,-0.0005208284895876769
T_policy,-0.0005175937506715078
T_policy,-0.0004823605997353875
T_policy,-0.0004065051750331561
T_policy,-0.0004497848096225443
T_policy,-0.00046788473432923805
T_policy,-0.00048553946453755437
T_policy,-0.0005011226304504346
T_policy,-0.0005662224676341587
T_policy,-0.0005454397098246799
T_policy,-0.0004028344293770525
T_policy,-0.0005793359625750893
T_policy,-0.0006230025592870447
T_policy,-0.0005985000967968501
T_policy,-0.0005146998392969726
T_policy,-0.0005168645644136882
T_policy,-0.000419304645644325
T_policy,-0.0005883595175592005
T_policy,-0.0004354999309061913
T_policy,-0.00042571348626485594
T_policy,-0.0006225376281877582
T_policy,-0.00040880912448404416
T_policy,-0.00043420519031722726
T_policy,-0.00039748765329938873
T_policy,-0.0005255945808704254
T_policy,-0.0004858360049210253
T_policy,-0.0006004297845433326
T_policy,-0.0003237759740786217
T_policy,-0.0004270767013713206
T_policy,-0.0004790892454382689
T_policy,-0.0005094753556771359
T_policy,-0.000451080383875313
T_policy,-0.0004541751598384769
T_policy,-0.0003772536200132848
T_policy,-0.0005584627484710447
T_policy,-0.0005430824629791831
T_policy,-0.0005793083501099971
T_policy,-0.0005781641422156758
T_policy,-0.000605502116466039
T_policy,-0.0004919628364751238
T_policy,-0.00038554361402620696
T_policy,-0.000577611412868495
T_policy,-0.00045462933587747667
T_policy,-0.0004728094466858179
T_policy,-0.00047235315310445447
T_policy,-0.00047781759614362596
T_policy,-0.0004573065140444088
T_policy,-0.00044018387374777923
T_policy,-0.0004327517772659828
T_policy,-0.00048037386662180825
T_policy,-0.0004779152377464291
T_policy,-0.0006394419457367295
T_policy,-0.0005932500679572961
T_policy,-0.0005207167128499224
T_policy,-0.00038121575157801235
T_policy,-0.0003875487743172368
T_policy,-0.0004767833002456978
T_policy,-0.0005592443846714756
T_policy,-0.00043260138098955014
T_policy,-0.0004878657786890894
T_policy,-0.0004579789376574217
T_policy,-0.0004585618622090504
T_policy,-0.0006105117032855212
T_policy,-0.0005527124181200493
T_policy,-0.00035928892538727997
T_policy,-0.0005066007306209208
T_policy,-0.000394808963730231
T_policy,-0.00045812496925778934
T_policy,-0.0004270852933521141
T_policy,-0.00043798974978148664
T_policy,-0.0004492138947521651
T_policy,-0.000576341706831518
T_policy,-0.0003966071288110662
T_policy,-0.0006569742815915047
T_policy,-0.0006911385937273806
T_policy,-0.0005252693242036033
T_policy,-0.0006440791825820247
T_policy,-0.0005405134465589212
T_policy,-0.0004988987968400638
T_policy,-0.0005691263186219375
T_policy,-0.0004990762302332641
T_policy,-0.0006537367953693973
T_policy,-0.0005877080081106989
T_policy,-0.0005340597706589012
T_policy,-0.0005019106999806233
T_policy,-0.00045495512673665583
T_policy,-0.0005133962695370586
T_policy,-0.0004709006943344196
T_policy,-0.0004649353010305335
T_policy,-0.0004002038388357665
T_policy,-0.000461766221457216
T_policy,-0.0006598900682208697
T_policy,-0.0005884105804261353
T_policy,-0.0004563226872259518
T_policy,-0.00048584698805698157
T_policy,-0.0003850480662882516
T_policy,-0.00048138549422915844
T_policy,-0.0005736540096433762
T_policy,-0.0005355176503420989
T_policy,-0.0004921705391658371
T_policy,-0.0004069906447002891
T_policy,-0.0006426482053077942
T_policy,-0.0003595218745656714
T_policy,-0.0003105753649715881
T_policy,-0.0004565665794625806
T_policy,-0.0006182855828730238
T_policy,-0.00035203143196815834
T_policy,-0.00046550021885050086
T_policy,-0.0005134224622186379
T_policy,-0.0005456306772735342
T_policy,-0.0004278266290003163
T_policy,-0.0006543134047282129
T_policy,-0.0007615592702155949
T_policy,-0.0005801719269521444
T_policy,-0.0004811440151133439
T_policy,-0.0005900067212757376
T_policy,-0.00043475393505088
T_policy,-0.00042578487687849886
T_policy,-0.0003152227504360505
T_policy,-0.0005700335895649777
T_policy,-0.0006771042382116566
T_policy,-0.0004404282755359201
T_policy,-0.00044141473499159645
T_policy,-0.0006593236816624382
T_policy,-0.0004969064362549958
T_policy,-0.0004998586482047873
T_policy,-0.0005281940217162218
T_policy,-0.000680507524401075
T_policy,-0.0005640667078203876
T_policy,-0.0004424049910092265
T_policy,-0.0004366650674381134
T_policy,-0.0005157846711069114
T_policy,-0.0005815925919192555
T_policy,-0.0005372858043366513
T_policy,-0.00038773562148342045
T_policy,-0.0004737014378110027
T_policy,-0.00047587985655994647
T_policy,-0.0005338870790243533
T_policy,-0.0005867747280127178
T_policy,-0.0005818091334404141
T_policy,-0.00042802600517710676
T_policy,-0.0006133172383715468
T_policy,-0.0005128409093911879
T_policy,-0.0004439398889335422
T_policy,-0.0005492606183786775
T_policy,-0.000458433889007015
T_policy,-0.0006383880681719578
T_policy,-0.0004881137543585323
T_policy,-0.0003331715853630568
T_policy,-0.0004504234936667517
T_policy,-0.0005245207459889656
T_policy,-0.0005258063916122602
T_policy,-0.0003676256341672568
T_policy,-0.0005436918184702488
T_policy,-0.0006380835051418288
T_policy,-0.0006610896450740533
